date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:34:40	142330/142330	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Nov%202023%2012:49:28%20GMT	https://my-cardlysupply.com/	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/index.html	(from )
14:34:42	194/194	---MC-	200	added ('OK')	text/plain	date:Fri,%2017%20Nov%202023%2013:34:42%20GMT	https://my-cardlysupply.com/robots.txt		(from )
14:34:43	1199451/1199451	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Nov%202023%2020:56:28%20GMT	https://my-cardlysupply.com/wp-content/cache/wpo-minify/1699995239/assets/wpo-minify-header-58678563.min.css	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/cache/wpo-minify/1699995239/assets/wpo-minify-header-58678563.min.css	(from https://my-cardlysupply.com/)
14:34:44	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Nov%202023%2013:34:47%20GMT	https://fonts.gstatic.com/	C:/Users/User/Documents/Top%20file/fonts.gstatic.com/index.html	(from https://my-cardlysupply.com/)
14:34:45	102305/102305	---M--	200	added ('OK')	application/javascript	date:Tue,%2014%20Nov%202023%2020:56:29%20GMT	https://my-cardlysupply.com/wp-content/cache/wpo-minify/1699995239/assets/wpo-minify-header-434d164f.min.js	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-content/cache/wpo-minify/1699995239/assets/wpo-minify-header-434d164f.min.js	(from https://my-cardlysupply.com/)
14:34:51	15250/15250	---MCZ	200	added ('OK')	application/rss+xml	etag:%22e4b6dbe4ecd453bbca95c3b549ce1e48%22	https://my-cardlysupply.com/feed/	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/feed/index.html	(from https://my-cardlysupply.com/)
14:34:55	1672/1672	---MCZ	200	added ('OK')	application/rss+xml	etag:%22e4b6dbe4ecd453bbca95c3b549ce1e48%22	https://my-cardlysupply.com/comments/feed/	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/comments/feed/index.html	(from https://my-cardlysupply.com/)
14:35:04	133756/133756	---MC-	200	added ('OK')	application/json	date:Fri,%2017%20Nov%202023%2013:34:49%20GMT	https://my-cardlysupply.com/wp-json/wp/v2/pages/79	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-json/wp/v2/pages/79.json	(from https://my-cardlysupply.com/)
14:35:05	198361/198361	---MC-	200	added ('OK')	application/json	date:Fri,%2017%20Nov%202023%2013:34:48%20GMT	https://my-cardlysupply.com/wp-json/	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-json/index.html	(from https://my-cardlysupply.com/)
14:35:08	828/828	---MC-	200	added ('OK')	text/xml	date:Fri,%2017%20Nov%202023%2013:35:07%20GMT	https://my-cardlysupply.com/xmlrpc.php?rsd	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/xmlrpc0db0.php	(from https://my-cardlysupply.com/)
14:35:14	2003/2003	---MC-	200	added ('OK')	application/json	date:Fri,%2017%20Nov%202023%2013:35:12%20GMT	https://my-cardlysupply.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmy-cardlysupply.com%2F	C:/Users/User/Documents/Top%20file/my-cardlysupply.com/wp-json/oembed/1.0/embed7881.json	(from https://my-cardlysupply.com/)
